date,region,channel,revenue,orders,margin
2026-01-01,North,Online,3600,80,1008.0
2026-01-02,South,Online,4418,94,1303.31
2026-01-03,West,Online,4704,96,1458.24
2026-01-04,North,Retail,4704,98,1528.8
2026-01-05,South,Retail,5600,112,1568.0
2026-01-06,West,Retail,4788,114,1412.46
2026-01-07,North,Partner,5104,116,1582.24
2026-01-08,South,Partner,4048,88,1315.6
2026-01-09,West,Partner,4320,90,1209.6
2026-01-10,North,Online,4876,92,1438.42
2026-01-11,South,Online,4770,106,1478.7
2026-01-12,West,Online,5076,108,1649.7
2026-01-13,North,Retail,5060,110,1416.8
2026-01-14,South,Retail,5952,124,1755.84
2026-01-15,West,Retail,4200,84,1302.0
2026-01-16,North,Partner,3612,86,1173.9
2026-01-17,South,Partner,4400,100,1232.0
2026-01-18,West,Partner,4692,102,1384.14
2026-01-19,North,Online,5304,104,1644.24
2026-01-20,South,Online,6254,118,2032.55
2026-01-21,West,Online,5400,120,1512.0
2026-01-22,North,Retail,3520,80,1038.4
2026-01-23,South,Retail,4324,94,1340.44
2026-01-24,West,Retail,4608,96,1497.6
2026-01-25,North,Partner,4900,98,1372.0
2026-01-26,South,Partner,4704,112,1387.68
2026-01-27,West,Partner,5016,114,1554.96
2026-01-28,North,Online,5684,116,1847.3
2026-01-29,South,Online,4488,88,1256.64
2026-01-30,West,Online,4770,90,1407.15
2026-01-31,North,Retail,3864,92,1197.84
2026-02-01,South,Retail,4664,106,1515.8
2026-02-02,West,Retail,4968,108,1391.04
2026-02-03,North,Partner,5280,110,1557.6
2026-02-04,South,Partner,6200,124,1922.0
2026-02-05,West,Partner,3528,84,1146.6
